46245,721786,0,721786
44350,690394,0,690394
43783,690867,0,690867
44588,647574,2997,650571
39335,715363,0,715363
32783,642535,0,642535
39418,664399,2877,667276
53054,635062,0,635062
44346,664428,0,664428
40758,640235,0,640235
43577,647146,0,647146
46115,669677,0,669677
42472,662687,99,662786
38524,653835,0,653835
39197,673310,0,673310
39984,669445,0,669445
37548,695717,0,695717
36748,660383,0,660383
41926,678651,0,678651
43291,666450,0,666450
40599,726777,0,726777
42654,705668,6965,712633
62949,618666,17617,636283
55826,660210,9342,669552
49760,591039,366,591405
22453,662014,2997,665011
25844,649529,17962,667491
55425,637603,57717,695320
56054,618924,66896,685820
55856,567058,38988,606046
54947,634945,12224,647169
50039,617115,0,617115
27211,666326,99,666425
29300,662949,0,662949
30956,665534,398,665932
29044,654645,597,655242
35565,672636,3369,676005
38141,657351,0,657351
30546,655429,199,655628
28280,648381,596,648977
28900,634510,598,635108
25102,663650,99,663749
28287,654317,191,654508
27403,684639,763,685402
27192,677472,481,677953
33489,678998,0,678998
30631,692021,190,692211
36885,705864,762,706626
32481,709651,3366,713017
45942,670779,10112,680891
49598,728219,8819,737038
48671,736589,764,737353
46950,739086,20702,759788
48077,680761,11632,692393
50413,645070,3188,648258
45361,616121,760,616881
55280,635973,108098,744071
55008,511168,39266,550434
56010,594302,29955,624257
58143,627899,6339,634238
55119,606738,5742,612480
50448,668094,11862,679956
45481,647028,2884,649912
41352,646239,0,646239
22721,675604,2873,678477
41961,655449,6109,661558
43620,647943,0,647943
44476,654472,0,654472
43421,642430,2871,645301
23564,671143,0,671143
22057,652891,0,652891
22038,658223,0,658223
22588,654001,3099,657100
48579,691355,2994,694349
29055,640172,18221,658393
51532,607085,60414,667499
59689,635880,99289,735169
55845,594740,132037,726777
62739,629037,131806,760843
60466,577692,110987,688679
58553,695884,56817,752701
51396,338954,12017,350971
28368,537740,5870,543610
46090,620612,0,620612
42249,679031,2880,681911
22089,653845,0,653845
22678,671285,0,671285
21670,641436,0,641436
25082,680056,3248,683304
43974,648125,0,648125
29148,659602,3243,662845
44174,647319,2877,650196
37166,674008,99,674107
36844,647155,3244,650399
42477,644265,5757,650022
42702,708186,2876,711062
21819,663663,2872,666535
21528,666870,0,666870
23131,698416,366,698782
42991,685343,2873,688216
37952,698848,365,699213
41336,723016,0,723016
38689,692440,0,692440
22588,712096,0,712096
26384,731969,0,731969
25210,766166,2868,769034
30678,780601,0,780601
45079,783227,0,783227
36368,741111,0,741111
23873,732746,5871,738617
30320,787095,0,787095
51808,634365,2993,637358
53503,430645,32974,463619
57655,678487,117079,795566
56523,588293,98706,686999
58114,487538,81150,568688
56425,637837,53697,691534
59273,234872,8859,243731
19647,59102,3009,62111
3815,0,0,0
14247,418062,2997,421059
31580,715983,11963,727946
52620,687341,24030,711371
31067,672886,24017,696903
56468,680251,29930,710181
57921,720043,2993,723036
27575,651690,0,651690
21639,643455,0,643455
21675,644524,0,644524
22697,674785,2884,677669
21838,652294,0,652294
22449,676263,0,676263
21908,666184,99,666283
27420,681244,2989,684233
51721,559557,14955,574512
52548,616860,0,616860
22268,662085,0,662085
27142,652838,0,652838
24593,718466,0,718466
22218,657668,0,657668
22265,659056,0,659056
21462,635299,0,635299
24641,684603,0,684603
22391,662773,0,662773
21787,644908,0,644908
21765,644271,0,644271
23838,666719,0,666719
22082,653653,0,653653
22426,672821,0,672821
22373,641316,2997,644313
45686,602039,0,602039
23310,706943,0,706943
22232,660935,99,661034
32886,652134,5758,657892
47420,682829,5857,688686
44809,666116,0,666116
44059,657950,0,657950
34190,650311,2874,653185
40272,676677,8748,685425
42711,640944,2996,643940
44168,664235,0,664235
42223,692374,0,692374
25254,644150,5862,650012
45112,650278,27323,677601
52947,666881,53943,720824
53522,648541,63069,711610
56852,546117,41878,587995
57621,699599,365,699964
47283,555242,3368,558610
41027,668565,2879,671444
45263,671706,0,671706
34267,683482,0,683482
