991,9580
1113,15648
4043,24067
4040,54104
4038,42068
3421,12040
4051,0
3862,18068
4041,9020
4044,30090
4044,126384
4150,189601
6658,292082
11952,482434
12571,641754
7538,857190
5317,1184372
2866,1234376
2866,1029158
3336,1436372
2710,1194876
4113,1001344
3678,1075740
2962,1541837
2324,1206138
2279,1374013
3233,1356183
3242,1354069
2558,1421075
1982,1272425
2427,1234350
3994,1315702
6001,1406929
4627,1439736
2797,1177038
2282,1177309
2610,1176253
1545,1567931
3159,1392049
2242,1514298
4113,1288841
3485,1611973
3815,1621763
9692,1290504
3161,1365438
3047,1421964
993,1717177
3053,1487874
4962,1673136
4529,1380543
2239,1519383
2429,1671773
